# Game_date	Longitude	Latitude	Goals
2011-04-16	-3.688350	40.453060	1
2011-04-23	2.122802	41.380870	1
2011-04-27	-3.688350	40.453060	2
2011-05-28	-0.279444	51.555556	1
2011-06-20	-58.449444	-34.545278	1
2011-08-14	-3.688350	40.453060	1
2011-08-17	2.122802	41.380870	2
2011-08-22	2.122802	41.380870	2
2011-08-26	7.409367	43.723227	1
2011-08-29	2.122802	41.380870	2
2011-09-17	2.122802	41.380870	3
2011-09-24	2.122802	41.380870	3
2011-09-28	37.555831	55.788164	2
2011-10-08	-58.449444	-34.545278	1
2011-10-15	2.122802	41.380870	2
2011-10-29	2.122802	41.380870	3
2011-11-01	14.469665	50.067166	3
2011-11-06	-2.942365	43.258102	1
2011-11-15	-74.800430	10.922780	1
2011-11-19	2.122802	41.380870	1
2011-11-23	9.121190	45.473480	1
2011-11-29	2.122802	41.380870	1
2011-12-03	2.122802	41.380870	1
2011-12-18	139.603746	35.506025	2
2012-01-04	2.122802	41.380870	2
2012-01-15	2.122802	41.380870	2
2012-01-22	-4.426422	36.734092	3
2012-02-04	2.122802	41.380870	1
2012-02-14	7.002206	51.038256	1
2012-02-19	2.122802	41.380870	4
2012-02-26	-3.720606	40.401719	1
2012-02-29	7.458898	46.957896	3
2012-03-07	2.122802	41.380870	5
2012-03-11	-3.793333	43.476389	2
2012-03-17	-5.970500	37.384000	1
2012-03-20	2.122802	41.380870	3
2012-03-24	2.630000	39.590000	1
2012-03-31	2.122802	41.380870	1
2012-04-03	2.122802	41.380870	2
2012-04-07	-0.901822	41.636592	2
2012-04-10	2.122802	41.380870	1
2012-04-14	-0.364167	39.494722	2
2012-04-29	-3.658961	40.391944	2
2012-05-02	2.122802	41.380870	3
2012-05-05	2.122802	41.380870	4
2012-05-25	-3.720606	40.401719	1
2012-06-03	-58.449444	-34.545278	1
2012-06-09	-74.071333	40.808163	3
2012-07-28	-5.858105	35.741211	3
2012-08-04	2.253056	48.841389	1
2012-08-11	26.152508	44.437208	1
2012-08-15	8.645458	50.068572	1
2012-08-19	2.122802	41.380870	2
2012-08-23	2.122802	41.380870	1
2012-08-26	-1.636944	42.796667	2
2012-08-29	-3.688350	40.453060	1
2012-09-08	-64.241079	-31.368039	1
2012-09-15	-3.714722	40.325556	2
2012-09-19	2.122802	41.380870	2
2012-10-07	2.122802	41.380870	2
2012-10-13	-68.874660	-32.887068	2
2012-10-17	-70.606331	-33.458665	1
2012-10-20	-8.417516	43.368714	3
2012-10-27	-3.658961	40.391944	2
2012-11-07	-4.205589	55.849711	1
2012-11-11	2.630000	39.590000	2
2012-11-17	2.122802	41.380870	2
2012-11-20	37.552164	55.709330	2
2012-11-25	-0.364167	39.494722	2
2012-12-01	2.122802	41.380870	2
2012-12-09	-5.981389	37.356389	2
2012-12-12	-4.758782	37.870040	2
2012-12-16	2.122802	41.380870	2
2012-12-22	-4.761111	41.644444	1
2013-01-06	2.122802	41.380870	1
2013-01-13	-4.426422	36.734092	1
2013-01-16	2.122802	41.380870	1
2013-01-19	-1.973617	43.301378	1
2013-01-24	-4.426422	36.734092	1
2013-01-27	2.122802	41.380870	4
2013-02-03	-0.358361	39.474656	1
2013-02-10	2.122802	41.380870	1
2013-02-16	-3.595736	37.152967	2
2013-02-23	2.122802	41.380870	1
2013-03-02	-3.688350	40.453060	1
2013-03-09	2.122802	41.380870	1
2013-03-12	2.122802	41.380870	2
2013-03-17	2.122802	41.380870	2
2013-03-23	-58.449444	-34.545278	1
2013-03-30	-8.739711	42.211842	1
2013-04-02	2.253056	48.841389	1
2013-04-27	-2.942365	43.258102	1
2013-05-05	2.122802	41.380870	2
2013-06-15	-90.506291	14.622123	3
2013-07-27	10.734333	59.949000	1
2013-07-30	18.640278	54.390000	1
2013-08-02	2.122802	41.380870	1
2013-08-07	100.622167	13.755417	2
2013-08-18	2.122802	41.380870	2
2013-09-01	-0.358361	39.474656	3
2013-09-11	-57.654426	-25.288576	2
2013-09-14	2.122802	41.380870	1
2013-09-18	2.122802	41.380870	3
2013-09-24	2.122802	41.380870	1
2013-09-28	-2.435278	36.840000	1
2013-10-22	9.121190	45.473480	1
2013-11-06	2.122802	41.380870	2
2014-01-08	2.122802	41.380870	2
2014-01-16	-3.714722	40.325556	2
2014-02-01	2.122802	41.380870	1
2014-02-09	-5.970500	37.384000	2
2014-02-12	-1.973617	43.301378	1
2014-02-15	2.122802	41.380870	2
2014-02-18	-2.200292	53.482989	1
2014-02-22	-1.973617	43.301378	1
2014-03-02	2.122802	41.380870	1
2014-03-12	2.122802	41.380870	1
2014-03-16	2.122802	41.380870	3
2014-03-23	-3.688350	40.453060	3
2014-03-26	2.122802	41.380870	1
2014-03-29	2.075667	41.347861	1
2014-04-05	2.122802	41.380870	2
2014-04-20	2.122802	41.380870	1
2014-04-27	-0.103611	39.944167	1
2014-05-03	2.122802	41.380870	1
2014-06-07	-57.986746	-34.908246	1
2014-06-16	-43.224764	-22.907296	1
2014-06-21	-43.969163	-19.859497	1
2014-06-25	-51.234984	-30.059368	2
2014-08-18	2.122802	41.380870	1
2014-08-24	2.122802	41.380870	2
2014-09-21	-0.364167	39.494722	1
2014-09-27	2.122802	41.380870	2
2014-09-30	2.253056	48.841389	1
2014-10-04	-3.658961	40.391944	1
2014-10-14	114.186399	22.270382	2
2014-10-18	2.122802	41.380870	1
2014-10-21	2.122802	41.380870	1
2014-11-05	4.938496	52.308499	2
2014-11-12	0.039444	51.531944	1
2014-11-22	2.122802	41.380870	3
2014-11-25	33.308665	35.140999	3
2014-12-07	2.122802	41.380870	3
2014-12-10	2.122802	41.380870	1
2014-12-20	2.122802	41.380870	2
2015-01-08	2.122802	41.380870	1
2015-01-11	2.122802	41.380870	1
2015-01-18	-8.417516	43.368714	3
2015-01-21	2.122802	41.380870	1
2015-01-24	-0.663333	38.266944	2
2015-02-01	2.122802	41.380870	1
2015-02-08	-2.950366	43.264284	1
2015-02-11	2.122802	41.380870	1
2015-02-15	2.122802	41.380870	3
2015-02-28	-3.595736	37.152967	1
2015-03-08	2.122802	41.380870	3
2015-03-14	-2.475803	43.181706	2
2015-04-08	2.122802	41.380870	1
2015-04-11	-5.970500	37.384000	1
2015-04-18	2.122802	41.380870	1
2015-04-25	2.075667	41.347861	1
2015-04-28	2.122802	41.380870	2
2015-05-02	-4.758782	37.870040	2
2015-05-06	2.122802	41.380870	2
2015-05-17	-3.720606	40.401719	1
2015-05-23	2.122802	41.380870	2
2015-05-30	2.122802	41.380870	2
2015-06-13	-71.251166	-29.906663	1
2015-08-05	2.122802	41.380870	1
2015-08-11	44.787187	41.720469	2
2015-08-17	2.122802	41.380870	1
2015-09-04	-95.349999	29.749997	2
2015-09-08	-97.089000	32.741997	1
2015-09-12	-3.720606	40.401719	1
2015-09-20	2.122802	41.380870	2
2015-11-24	2.122802	41.380870	2
2015-11-28	2.122802	41.380870	1
2015-12-09	7.002206	51.038256	1
2015-12-12	2.122802	41.380870	1
2015-12-20	139.603746	35.506025	1
2015-12-30	2.122802	41.380870	1
2016-01-06	2.122802	41.380870	2
2016-01-09	2.122802	41.380870	3
2016-01-17	2.122802	41.380870	1
2016-01-23	-4.426422	36.734092	1
2016-01-30	2.122802	41.380870	1
2016-02-03	2.122802	41.380870	3
2016-02-14	2.122802	41.380870	1
2016-02-17	-5.637222	43.536111	2
2016-02-23	-0.108611	51.555000	2
2016-02-28	2.122802	41.380870	1
2016-03-03	-3.658961	40.391944	3
2016-03-06	-2.475803	43.181706	2
2016-03-12	2.122802	41.380870	1
2016-03-16	2.122802	41.380870	1
2016-03-29	-64.241079	-31.368039	1
2016-04-17	2.122802	41.380870	1
2016-04-20	-8.417516	43.368714	1
2016-04-23	2.122802	41.380870	1
2016-05-08	2.122802	41.380870	1
2016-06-10	-87.616664	41.857497	3
2016-06-18	-71.264460	42.091250	1
2016-06-21	-95.403332	29.675331	1
2016-08-10	2.122802	41.380870	2
2016-08-17	2.122802	41.380870	1
2016-08-20	2.122802	41.380870	2
2016-09-01	-68.874660	-32.887068	1
2016-09-13	2.122802	41.380870	3
2016-09-17	-3.760700	40.340400	2
2016-10-15	2.122802	41.380870	1
2016-10-19	2.122802	41.380870	3
2016-10-22	-0.358361	39.474656	2
2016-11-01	-2.200292	53.482989	1
2016-11-06	-5.970500	37.384000	1
2016-11-15	-68.527479	-31.611946	1
2016-11-23	-4.205589	55.849711	2
2016-11-27	-1.973617	43.301378	1
2016-12-06	2.122802	41.380870	1
2016-12-10	-1.636944	42.796667	2
2016-12-13	51.440562	25.344740	1
2016-12-18	2.122802	41.380870	1
2017-01-05	-2.950366	43.264284	1
2017-01-08	-0.100000	39.933330	1
2017-01-11	2.122802	41.380870	1
2017-01-14	2.122802	41.380870	1
2017-01-22	-2.475803	43.181706	1
2017-01-26	2.122802	41.380870	1
2017-02-01	-3.720606	40.401719	1
2017-02-04	2.122802	41.380870	1
2017-02-11	-2.686157	42.835597	1
2017-02-19	2.122802	41.380870	2
2017-02-26	-3.720606	40.401719	1
2017-03-01	2.122802	41.380870	1
2017-03-04	2.122802	41.380870	2
2017-03-08	2.122802	41.380870	1
2017-03-19	2.122802	41.380870	2
2017-03-23	-58.449444	-34.545278	1
2017-04-05	2.122802	41.380870	2
2017-04-15	2.122802	41.380870	2
2017-04-23	-3.688350	40.453060	2
2017-04-26	2.122802	41.380870	2
2017-05-06	2.122802	41.380870	2
2017-05-21	2.122802	41.380870	2
2017-05-27	-3.720606	40.401719	1
2017-07-29	-80.238889	25.958056	1
2017-08-07	2.122802	41.380870	1
2017-08-13	2.122802	41.380870	1
2017-08-26	-2.686157	42.835597	2
2017-09-09	2.122802	41.380870	3
2017-09-12	2.122802	41.380870	2
2017-09-19	2.122802	41.380870	4
2017-10-01	2.122802	41.380870	2
2017-10-10	-78.472615	-0.173183	3
2017-10-18	2.122802	41.380870	1
2017-10-28	-2.950366	43.264284	1
2017-12-02	2.122802	41.380870	1
2017-12-10	-0.100000	39.933330	1
2017-12-23	-3.688350	40.453060	1
2018-01-07	2.122802	41.380870	1
2018-01-11	2.122802	41.380870	2
2018-01-14	-1.973617	43.301378	1
2018-01-21	-5.981389	37.356389	2
2018-01-25	2.122802	41.380870	1
2018-01-28	2.122802	41.380870	1
2018-02-20	-0.191111	51.481667	1
2018-02-24	2.122802	41.380870	2
2018-03-01	-15.453998	28.100000	1
2018-03-04	2.122802	41.380870	1
2018-03-14	2.122802	41.380870	2
2018-03-18	2.122802	41.380870	1
2018-03-31	-5.970500	37.384000	1
2018-04-07	2.122802	41.380870	3
2018-04-21	-3.716147	40.447527	1
2018-04-29	-8.417516	43.368714	3
2018-05-06	2.122802	41.380870	1
2018-05-09	2.122802	41.380870	1
2018-05-29	-58.358789	-34.634721	3
2018-06-26	30.218986	59.970434	1
2018-08-15	2.122802	41.380870	1
2018-08-18	2.122802	41.380870	2
2018-09-02	2.122802	41.380870	2
2018-09-18	2.122802	41.380870	3
2018-09-23	2.122802	41.380870	1
2018-10-03	-0.279444	51.555556	2
2018-10-07	-0.358361	39.474656	1
2018-10-20	2.122802	41.380870	1
2018-11-11	2.122802	41.380870	2
2018-11-28	5.467130	51.438400	1
2018-12-08	2.075667	41.347861	2
2018-12-16	-0.364167	39.494722	3
2018-12-22	2.122802	41.380870	1
2019-01-06	-3.714722	40.325556	1
2019-01-13	2.122802	41.380870	1
2019-01-17	2.122802	41.380870	1
2019-01-20	2.122802	41.380870	1
2019-01-27	2.823830	41.956830	1
2019-01-30	2.122802	41.380870	1
2019-02-02	2.122802	41.380870	2
2019-02-16	2.122802	41.380870	1
2019-02-23	-5.970500	37.384000	3
2019-03-09	2.122802	41.380870	1
2019-03-13	2.122802	41.380870	2
2019-03-17	-5.981389	37.356389	3
2019-03-30	2.122802	41.380870	2
2019-04-02	-0.100000	39.933330	1
2019-04-06	2.122802	41.380870	1
2019-04-16	2.122802	41.380870	2
2019-04-27	2.122802	41.380870	1
2019-05-01	2.122802	41.380870	2
2019-05-19	-2.475803	43.181706	2
2019-05-25	-5.981389	37.356389	1
2019-06-08	-68.527479	-31.611946	2
2019-06-19	-43.969163	-19.859497	1
2019-10-06	2.122802	41.380870	1
2019-10-19	-2.475803	43.181706	1
2019-10-23	14.471667	50.067500	1
2019-10-29	2.122802	41.380870	2
2019-11-02	-0.364167	39.494722	1
2019-11-09	2.122802	41.380870	3
2019-11-15	46.836872	24.786254	1
2019-11-18	34.756860	32.051036	1
2019-11-27	2.122802	41.380870	1
2019-12-01	-3.716147	40.447527	1
2019-12-07	2.122802	41.380870	3
2019-12-21	2.122802	41.380870	1
2020-01-09	39.122166	22.090000	1
2020-01-19	2.122802	41.380870	1
2020-01-30	2.122802	41.380870	2
2020-02-22	2.122802	41.380870	4
2020-03-07	2.122802	41.380870	1
2020-06-13	2.630000	39.590000	1
2020-06-16	2.122802	41.380870	1
2020-06-30	2.122802	41.380870	1
2020-07-16	2.122802	41.380870	1
2020-07-19	-2.686157	42.835597	2
2020-08-08	2.122802	41.380870	1
2020-09-27	2.122802	41.380870	1
2020-10-09	-58.358789	-34.634721	1
2020-10-20	2.122802	41.380870	1
2020-10-28	7.637997	45.105666	1
2020-11-04	2.122802	41.380870	1
2020-11-07	2.122802	41.380870	2
2020-11-29	2.122802	41.380870	1
2020-12-13	2.122802	41.380870	1
2020-12-19	2.122802	41.380870	1
2020-12-22	-4.761111	41.644444	1
